content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
"Jill and I are heartbroken at the passing of Dr. Emily Clyburn. She was a remarkable woman — an activist and community leader, a true partner throughout Jim's career in public office. Jim and the entire Clyburn family are in our hearts during this time of grief. https://t.co/1DXYCSLgG1",Thu Sep 19 17:10:00 +0000 2019,2019-09-19 17:10:00+00:00,841,"[Photo(previewUrl='https://pbs.twimg.com/media/EE17-i3XYAEyGHw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EE17-i3XYAEyGHw?format=jpg&name=large', type='photo')]",[],5,,25,169,,https://twitter.com/JoeBiden/status/1174732383066542084,1174732383066542084,1174732383066542084
It’s past time we ban assault weapons and high-capacity magazines. We must get these weapons of war out of our communities. https://t.co/yTQ4SvqIAR,Thu Sep 19 14:15:00 +0000 2019,2019-09-19 14:15:00+00:00,2054,,['https://www.washingtonpost.com/nation/2019/09/17/alexis-wilson-mcalester-oklahoma-school-shooting-threat/'],31,,214,488,,https://twitter.com/JoeBiden/status/1174688343235452930,1174688343235452930,1174688343235452930
I’m more optimistic about America’s future today than I was when I was first elected to the Senate as a 29-year-old kid. There’s not a single thing we cannot do — if we do it together.,Wed Sep 18 20:01:00 +0000 2019,2019-09-18 20:01:00+00:00,3241,,[],83,,570,452,,https://twitter.com/JoeBiden/status/1174413029120913408,1174413029120913408,1174413029120913408
"We need a president who believes in science over fiction. As president, I will fight for rigorous fuel economy standards that protect our health, our environment, and our economy.",Wed Sep 18 17:18:41 +0000 2019,2019-09-18 17:18:41+00:00,2214,,[],16,,146,288,,https://twitter.com/JoeBiden/status/1174372182463582208,1174372182463582208,1174371856528367622
"Donald Trump continues his relentless effort to roll back the hard-fought progress we made in the Obama-Biden Administration. Higher auto emission standards make the air we all breathe cleaner, keep us healthier—and keep our auto industry competitive in the global marketplace. https://t.co/G2scIizq53",Wed Sep 18 17:17:24 +0000 2019,2019-09-18 17:17:24+00:00,2639,,['https://twitter.com/washingtonpost/status/1174361438183403520'],36,https://twitter.com/washingtonpost/status/1174361438183403520,200,550,,https://twitter.com/JoeBiden/status/1174371856528367622,1174371856528367622,1174371856528367622
"When domestic abusers have easy access to guns, the result can be fatal. Gov. Sununu should work with the NH legislature to keep guns out of the hands of abusers. 

I wrote &amp; passed the Violence Against Women Act. I’ve taken on the NRA twice — and as president, I’ll do it again.",Wed Sep 18 15:29:00 +0000 2019,2019-09-18 15:29:00+00:00,1574,,[],23,,144,331,,https://twitter.com/JoeBiden/status/1174344577865486337,1174344577865486337,1174344577865486337
Another school year is starting. Another month of Senate Republicans’ inaction on gun violence. This powerful ad from my friends @sandyhook captures the physical and emotional consequences of that inaction. https://t.co/16jaVm4QNG,Wed Sep 18 14:42:30 +0000 2019,2019-09-18 14:42:30+00:00,1233,,['https://twitter.com/sandyhook/status/1174291982857883653'],23,https://twitter.com/sandyhook/status/1174291982857883653,96,372,,https://twitter.com/JoeBiden/status/1174332875115827200,1174332875115827200,1174332875115827200
"When I talk about our gun violence epidemic, I’m not only talking about the tragic mass shootings that make national news. I’m also talking about the shootings that occur every day in communities across the nation like Wilmington, Delaware.

We must take on the @NRA and end this. https://t.co/O7hq93Jdyf",Wed Sep 18 01:44:43 +0000 2019,2019-09-18 01:44:43+00:00,1303,,['https://twitter.com/delawareonline/status/1174028508370219008'],12,https://twitter.com/delawareonline/status/1174028508370219008,199,280,,https://twitter.com/JoeBiden/status/1174137142345371648,1174137142345371648,1174137142345371648
No one should be fired simply because of who they are or who they love. We must pass the Equality Act and ensure LGBTQ Americans are treated with the dignity and respect they deserve.,Wed Sep 18 00:50:00 +0000 2019,2019-09-18 00:50:00+00:00,4881,,[],32,,161,701,,https://twitter.com/JoeBiden/status/1174123370075611137,1174123370075611137,1174123370075611137
I can promise you that no one will work harder to earn the support of every Amtrak employee. https://t.co/H7YupBImgi,Wed Sep 18 00:27:00 +0000 2019,2019-09-18 00:27:00+00:00,958,"[Photo(previewUrl='https://pbs.twimg.com/media/EEtJMPyXYAAcOyU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EEtJMPyXYAAcOyU?format=jpg&name=large', type='photo')]",[],30,,93,154,,https://twitter.com/JoeBiden/status/1174117581764141056,1174117581764141056,1174117581764141056
"America’s unions and workers are standing up and demanding better. Together, we will rebuild the great American middle class and ensure every worker receives the pay and benefits they deserve. https://t.co/WvTJAAPUq3",Tue Sep 17 23:51:00 +0000 2019,2019-09-17 23:51:00+00:00,620,,['https://www.nytimes.com/2019/09/17/opinion/uaw-gm-strike.html?action=click&module=Opinion&pgtype=Homepage'],9,,73,185,,https://twitter.com/JoeBiden/status/1174108522319097857,1174108522319097857,1174108522319097857
"Grateful for all the support at last night’s Galivants Ferry Stump in South Carolina! It’s time we get up, come together as a nation, and lead the world once again. Because there’s not a single thing we cannot do together. https://t.co/JEoXLGXDWP",Tue Sep 17 23:05:00 +0000 2019,2019-09-17 23:05:00+00:00,975,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EEs3grpX4AAAzTj.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1174087436168769537/pl/caQ9ezmSTCAVFY-4.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1174087436168769537/vid/640x360/DLBwDBhzYpRofN-V.mp4?tag=13', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1174087436168769537/vid/1280x720/IzdMNfGbhJxrbpN7.mp4?tag=13', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1174087436168769537/vid/480x270/yonwlQpjkVQ50AkD.mp4?tag=13', bitrate=288000)], duration=34.451, type='video')]",[],16,,81,220,,https://twitter.com/JoeBiden/status/1174096946153185281,1174096946153185281,1174096946153185281
"Our firefighters and teachers should not be paying a higher tax rate than someone making $50 million a year.

We’ve got to repeal President Trump’s tax cuts for the super-wealthy and create a tax code that works for the middle class.",Tue Sep 17 22:02:00 +0000 2019,2019-09-17 22:02:00+00:00,4113,,[],34,,231,740,,https://twitter.com/JoeBiden/status/1174081091688288256,1174081091688288256,1174081091688288256
"This afternoon, I’m joining @PhillyAFLCIO at the #Workers2020 Summit to discuss how a Biden administration will rebuild America’s middle class and strengthen the right to organize and collectively bargain. Tune in: https://t.co/9C0dDa9HZ2",Tue Sep 17 19:54:00 +0000 2019,2019-09-17 19:54:00+00:00,282,,['http://workerspresidentialsummit.com/'],3,,54,75,,https://twitter.com/JoeBiden/status/1174048879089803265,1174048879089803265,1174048879089803265
Cokie Roberts was a pioneer. Relentless in her pursuit of the truth and steadfast in her commitment to breaking down barriers for women in journalism—our country is better because of it. @DrBiden and I send our prayers to her loved ones at this time. https://t.co/ARA804negW,Tue Sep 17 18:27:00 +0000 2019,2019-09-17 18:27:00+00:00,2355,,['https://www.npr.org/2019/09/17/761050916/cokie-roberts-pioneering-female-journalist-who-helped-shape-npr-dies-at-75'],22,,45,340,,https://twitter.com/JoeBiden/status/1174026985099714568,1174026985099714568,1174026985099714568
"Thank you, South Carolina, for a great evening at the Galivants Ferry Stump. As I discussed last night, we’ve got to rebuild America’s middle class. That starts with repealing President Trump’s tax cuts for the super-wealthy and rewarding work — not just wealth. https://t.co/ISrYut1BGO",Tue Sep 17 16:16:00 +0000 2019,2019-09-17 16:16:00+00:00,829,"[Photo(previewUrl='https://pbs.twimg.com/media/EErZAcEXYAUicQ9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EErZAcEXYAUicQ9?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/EErZA9ZXUAElP9A?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EErZA9ZXUAElP9A?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/EErZBa8WsAIsxrX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EErZBa8WsAIsxrX?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/EErZB5nXYAENOT_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EErZB5nXYAENOT_?format=jpg&name=large', type='photo')]",[],5,,88,183,,https://twitter.com/JoeBiden/status/1173994017664749568,1173994017664749568,1173994017664749568
